PROJECT_NAME,PROJECT_NUMBER,TYPE_OF_UNIT,COST,PROJECT_STATUS,CONTRACT_TYPE,COMPLETION_DATE,STATE,EVENT_DATE_1,DATE_OF_COST_OF_PROJECT,Cost_Event1,Cost_Event,Cost_Overrun
Bawal Chowk Flyover Project,1972,New Unit,230,Under Implementation,,,Haryana,01-Jun-15,06/12/21,230,240,-10
Bawana (Delhi)-Sonepat-Panipat-Uchana-Indri-Yamunanagar Expressway Project,1340,Substantial Expansion,80000,No Information,,,NCT of Delhi,01-Dec-14,18/12/19,80000,10000,70000
Bawana Industrial Area (Delhi)-Barwasani Bypass (Sonipat) (NH-352A) Link Road Project (Package 4 of Delhi 3rd Ring Road or UER-2),1683,New Unit,7412.5,Under Implementation,"Engineering, Procurement & Construction",Oct-23,Haryana,01-Apr-16,26/12/19,7412.5,7648.9,-236.4
Beawar-Gomti (NH-8) Four Laning Highway Project,1820,Substantial Expansion,7216.2,Under Implementation,"Engineering, Procurement & Construction",,Rajasthan,01-Apr-09,26/07/21,7216.2,12000,-4783.8
Belekeri Port-Kumta-Sirsi (SH-69) Two Lane Highway Project,1759,Substantial Expansion,4401.6,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,31-Jan-18,31/12/19,4401.6,3704,697.6
Belgaum Bypass Project,112,Substantial Expansion,1260,Completed,"Engineering, Procurement & Construction",Jun-06,Karnataka,01-Mar-01,01/01/05,1260,800,460
"Belgaum Western & Eastern (NH-4,4A&SH-54) Bypass Project",1324,New Unit,15000,Under Implementation,Hybrid Annuity,,Karnataka,21-Aug-17,19/02/18,15000,15000,0
Belgaum-Hungund-Raichur Four Lane Highway (NH-748A) Project (Part of Hyderabad-Panaji Economic Corridor),2103,Substantial Expansion,125000,Under Implementation,Hybrid Annuity,,Karnataka,01-Nov-20,01/12/22,125000,125000,0
Belghoria Expressway Project,931,New Unit,9000,Completed,,Dec-06,West Bengal,30-Dec-67,01/10/06,9000,1080,7920
Belghoria Expressway Renovation Project,885,Renovation & Modernisation,300,No Information,,,West Bengal,04-Jun-11,04/06/11,300,300,0
Bellampalli-Gadchiroli Four Lane Greenfield Express Highway Project (Annaram Village to Veeravelli Village) (Part of Hyderabad Raipur Economic Corridor),3000,New Unit,105780,Under Implementation,,,Telangana,01-Jan-23,01/03/23,105780,105780,0
Betul-Indore-Nagpur Road Project,421,New Unit,11046.1,No Information,,,Madhya Pradesh,30-Nov-05,30/11/05,11046.1,11046.1,0
Beypore-Malapparamba Four-Lane Road Project (Bharatmala),1488,New Unit,4000,Under Implementation,,,Kerala,01-Jul-17,26/10/17,4000,4000,0
Bhadohi-Mariahu-Jaunpur (NH-135A) Highway Project,1936,Substantial Expansion,2000,Under Implementation,,,Uttar Pradesh,01-Apr-17,16/10/22,2000,3950,-1950
Bhadrak-Baleshwar (NH-16) Six Lane Highway Project (Package-II),1023,Substantial Expansion,22968.2,Under Implementation,Hybrid Annuity,,Odisha,25-Mar-11,19/02/15,22968.2,13800,9168.2
Bhadrak-Chandikhole (OR-II) Highway Project,137,Substantial Expansion,3053,Completed,"Engineering, Procurement & Construction",May-05,Odisha,01-Nov-00,01/01/02,3053,2840,213
Bhamaiya village-Baletiya village Eight Lane Access-Controlled Expressway Project (Package 29 of Delhi-Mumbai Expressway),1635,Substantial Expansion,11215.8,Under Implementation,"Engineering, Procurement & Construction",,Gujarat,31-Mar-98,07/12/22,11215.8,7831.4,3384.4
Bhandara (Wainganga)-Durg Highway Project,441,New Unit,10000,Completed,Build Operate Transfer,Mar-09,Maharashtra,18-Jan-07,18/01/07,10000,10000,0
Bhandara Bypass Flyover Project,1204,New Unit,5000,No Information,,,Maharashtra,18-Aug-16,18/08/16,5000,5000,0
Bhaniyawala-Jollygrant-Rishikesh (NH-07) Four Lane Highway Project,2123,Substantial Expansion,10362.3,Announced,Hybrid Annuity,Dec-25,Uttarakhand,01-Jan-22,09/02/23,10362.3,8924.4,1437.9
Bharauli (Buxar)-Haidariya (NH-31) Four Lane Greenfield Link Road Project (connecting Purvanchal Expressway),2070,Substantial Expansion,6180,Under Implementation,,,Bihar,01-Jan-22,13/10/22,6180,6180,0
Bharuch to Surat Package BOT- II Highway Project,213,Substantial Expansion,4488.7,Completed,Build Operate Transfer,Sep-09,Gujarat,01-Dec-01,01/07/09,4488.7,370,4118.7
Bhavnagar-Sosiya-Alang Ship Recycling Yard Alternative Road Project (Bharatmala),1359,New Unit,6965,Under Implementation,,Feb-24,Gujarat,01-Apr-16,09/08/20,6965,705.5,6259.5
Bhavnagar-Talaja (NH-8E) (Package-I Bhavnagar-Veraval Section) Four/Six Lane Highway Project,927,Substantial Expansion,9981.8,Completed,Hybrid Annuity,Aug-20,Gujarat,03-May-12,26/05/16,9981.8,8411.8,1570
Bheem-Parsoli (NH-148 D) Two Lane Highway Project (Phase 2),1013,Substantial Expansion,1138,Completed,,Apr-16,Rajasthan,02-Nov-12,02/11/12,1138,1138,0
Bheem-Parsoli Two Lane (Phase 1) Highway Widening Project,1012,Substantial Expansion,1002.9,Completed,,Apr-16,Rajasthan,02-Nov-12,02/11/12,1002.9,1002.9,0
Bhiladi-Jetpur NH-8B (Package 2) Project,167,Substantial Expansion,3998.9,Completed,"Engineering, Procurement & Construction",Jan-09,Gujarat,01-Nov-02,01/01/09,3998.9,3000,998.9
Bhilwara-Ladpura (NH-758) Two Lane Road Project,916,Substantial Expansion,3530,Completed,"Engineering, Procurement & Construction",Aug-18,Rajasthan,10-Sep-12,31/10/17,3530,2400,1130
Bhilwara-Rajsamand (NH-758) Carriageway Improvement Project,874,Renovation & Modernisation,115.5,No Information,Build Operate Transfer,,Rajasthan,11-Oct-11,11/10/11,115.5,115.5,0
Bhiwani-Hansi (NH-148B) Four Lane Highway Project,2073,Substantial Expansion,13221.3,Under Implementation,Hybrid Annuity,,Haryana,01-Jan-22,24/11/22,13221.3,13949.1,-727.8
Bhogpur to Jalandhar (NS-16/PB) Highway Project,197,Substantial Expansion,711.8,Completed,"Engineering, Procurement & Construction",Oct-04,Punjab,01-Mar-01,01/01/03,711.8,715,-3.2
Bhogpur-Mukerian (NH-1A) Four Laning Highway project,768,New Unit,3600,Completed,"Engineering, Procurement & Construction",Jan-14,Punjab,01-Jan-10,01/01/10,3600,3600,0
Bhogu-Sankha (NH-75) Four Lane Highway Project (Package-3),2048,Substantial Expansion,13910,Under Implementation,Hybrid Annuity,,Jharkhand,01-Apr-18,23/03/23,13910,11700,2210
Bhojpur-Buxar (NH-84 & NH-922) Four-Laning Highway Project (Section of Patna-Buxar Highway),1088,Substantial Expansion,17280,Completed,"Engineering, Procurement & Construction",Nov-22,Bihar,12-Aug-08,14/11/22,17280,5937.7,11342.3
Bhopal-Sanchi (NH-86 Extn.) (New NH-146) Highway Project,1062,New Unit,3045.8,Completed,"Engineering, Procurement & Construction",Aug-20,Madhya Pradesh,30-Apr-09,25/08/20,3045.8,2090,955.8
Bhuban-Dubari-Chandikhole (NH-200) Four Lane Highway Project,925,Substantial Expansion,7322.2,No Information,Build Operate Transfer Toll,,Odisha,07-Sep-12,07/09/12,7322.2,7322.2,0
Bhubaneshwar-Ichapuram Six Laning Highway Project,865,Substantial Expansion,18600,Shelved,Build Operate Transfer Toll,,Odisha,01-Jul-11,01/07/11,18600,18600,0
Bhubaneshwar-Khurda (OR-I) Highway Project,139,Substantial Expansion,1495,Completed,,Oct-13,Odisha,30-Apr-00,31/03/10,1495,1190,305
Bhubaneshwar-Puri (NH-203) Four-Laning Highway Project,1402,Substantial Expansion,6800,Completed,"Engineering, Procurement & Construction",Feb-19,Odisha,01-Jan-07,30/04/17,6800,5002.9,1797.1
Bhubbu Jot Tunnel Project,1502,New Unit,5290,Under Implementation,,,Himachal Pradesh,15-Aug-09,04/12/13,5290,857.5,4432.5
Bidar-Kalaburagi-Ballary Four Lane Road Project,2088,Substantial Expansion,76500,Announced,,,Karnataka,17-Sep-22,17/02/23,76500,76500,0
Bihar (NH -2) Project,42,Renovation & Modernisation,1876,No Information,,,Bihar,01-Mar-95,01/04/01,1876,1506.7,369.3
Bihar/Jharkhand Border (Chordaha)-Gorhar (NH-2) Six Laning Highway Project (Package-II),1113,Substantial Expansion,16116.8,Under Implementation,"Engineering, Procurement & Construction",Oct-23,Jharkhand,01-Jun-11,17/12/22,16116.8,9816.1,6300.7
Biharsharif-Barbigha-Mokama (NH-82) Two Laning Road Project,821,New Unit,5097.5,Completed,"Engineering, Procurement & Construction",Mar-21,Bihar,22-Nov-10,30/04/20,5097.5,3040,2057.5
Bijapur-Gulbarga-Humnabad (NH-218) Two lane Highway Project,934,Substantial Expansion,7090,Completed,"Engineering, Procurement & Construction",Sep-19,Karnataka,26-Jul-12,27/10/14,7090,6807.3,282.7
Bijni-Assam/WB Border (NH-31C) Four-Laning Highway Project,284,Substantial Expansion,8530,Under Implementation,"Engineering, Procurement & Construction",,Assam,01-Dec-03,28/02/18,8530,2300,6230
Bijnor-Kotawali (Nagina) (NH-709AD) Four Lane Highway Project (Package 4 of Panipat-Nagina Highway),1643,Substantial Expansion,2670,Under Implementation,"Engineering, Procurement & Construction",,Uttar Pradesh,10-Jun-16,20/02/19,2670,2099.7,570.3
Biju Para-Kuru (NH-75) Four Laning Highway Project (Package-II),1227,Substantial Expansion,1542.7,Completed,"Engineering, Procurement & Construction",Sep-19,Jharkhand,09-Nov-16,09/11/16,1542.7,1542.7,0
Bilaspur Chowk Flyover Project,1971,New Unit,342.7,Under Implementation,,,Haryana,01-Jan-13,09/03/22,342.7,230,112.7
Binjhabahal-Telebani (NH-49) Four Laning Highway Project,1021,Substantial Expansion,11614,Completed,Hybrid Annuity,Aug-21,Odisha,19-Nov-13,31/10/17,11614,8588.4,3025.6
Binnamangala FOB Project,828,New Unit,10,No Information,,,Karnataka,01-Dec-10,01/12/10,10,10,0
Bodare-Dhule (NH-52) Four/Six Laning Highway Project,1149,Substantial Expansion,10070,Under Implementation,Hybrid Annuity,,Maharashtra,15-Jul-10,22/04/22,10070,8396.4,1673.6
Bokaro-Chas (NH-23) bridge over Garga river Project,987,New Unit,50.8,Completed,,Apr-16,Jharkhand,01-Apr-10,28/05/14,50.8,35.8,15
Boregaon Buzurg to Shahpur Four Lane Road (NH-753L) Project (Package-I of Boregaon Buzurg-Muktainagar Road),2079,Substantial Expansion,11187.8,Under Implementation,Hybrid Annuity,,Madhya Pradesh,01-Jul-22,31/08/22,11187.8,11187.8,0
Borkhedi-Jam (NS-22/MH) Highway Project,258,New Unit,1150,Completed,"Engineering, Procurement & Construction",Jun-15,Maharashtra,31-Dec-03,30/11/12,1150,1100,50
Bowdara-Vizianagaram (NH-516E) Two Lane Highway Project,1863,New Unit,1595.1,Under Implementation,,,Andhra Pradesh,01-Apr-19,04/10/20,1595.1,1595.1,0
Brahmani Bypass (End of NH-23)-Rajamunda (NH-143) Four Laning Highway Project (Birmitrapur-Barkote),981,Substantial Expansion,8600.5,Under Implementation,"Engineering, Procurement & Construction",,Odisha,25-Oct-10,09/04/15,8600.5,8200,400.5
Brahmaputra Express Highway Project,1279,New Unit,645640,Announced & Stalled,,,Assam,24-Jan-17,12/06/17,645640,400000,245640
Brahmputra Bridge (AS-28) Project,281,New Unit,4537,Completed,"Engineering, Procurement & Construction",Jul-19,Assam,01-Dec-03,19/07/19,4537,2176.1,2360.9
Bridge Across Narikulam Tank Project,1278,New Unit,210,Completed,,Mar-19,Tamil Nadu,13-Jan-17,04/04/17,210,210,0
Bridge Over Besu River (on Ghajipur-Balia NH-31 Highway) Project,2094,New Unit,110,Completed,,Feb-23,Uttar Pradesh,01-Oct-19,14/10/19,110,110,0
Bridge Over River Jia Bharali (NH-715) Project,487,New Unit,8040,Under Implementation,,Aug-23,Assam,24-Jul-08,29/07/21,8040,8040,0
Bridge over Rapti River at Gorakhpur (Addl. 2 Lane) Project,956,New Unit,146,Completed,"Engineering, Procurement & Construction",Jun-07,Uttar Pradesh,01-Feb-04,01/02/04,146,146,0
Budhel Junction-Nari Circle (NH-51) Four Lane Road (Missing Link) Project,1805,New Unit,1866,Under Implementation,"Engineering, Procurement & Construction",,Gujarat,22-Oct-19,22/10/19,1866,1866,0
Bugga-Kaipa (NH-544D) Two Lane Highway Project,1431,Substantial Expansion,7023.4,Under Implementation,"Engineering, Procurement & Construction",,Andhra Pradesh,20-Dec-17,20/12/17,7023.4,7023.4,0
Butibori ROB (NS-29/MH) Project,44,New Unit,242.7,Completed,,Sep-11,Maharashtra,01-Sep-02,30/09/11,242.7,247.2,-4.5
Butibori-MIDC T-Junction (NH-44) Flyover Project,1276,Substantial Expansion,700,Completed,"Engineering, Procurement & Construction",Jun-21,Maharashtra,29-Mar-17,17/06/21,700,460.7,239.3
Chambal Bridge (RJ-5) Project,738,New Unit,2813.1,Completed,"Engineering, Procurement & Construction",Aug-17,Rajasthan,31-Dec-03,31/12/03,2813.1,2813.1,0
Chambal Four/Six/Eight Lane Expressway Project (Chambal Progressway or Atal Progressway),1532,New Unit,121703,Under Implementation,Hybrid Annuity,,Madhya Pradesh,31-Jan-17,13/06/22,121703,60000,61703
Champawati-Vishakhapatnam (AP-3) Highway Project,103,Substantial Expansion,2000,Completed,"Engineering, Procurement & Construction",Feb-05,Andhra Pradesh,31-Mar-01,01/01/02,2000,1840,160
Chandesari-Khedakhajuria (NH-148) Four Lane Highway Project (Package 1 of Ujjain-Garoth Section),1883,Substantial Expansion,10340,Under Implementation,Hybrid Annuity,,Madhya Pradesh,01-Jan-19,24/02/22,10340,10340,0
"Chandigarh (Balongi)-Kharar Section (NH-21), (NH-205 & 05) Four Laning Highway Project (Part of Chandigarh-Ludhiana Highway)",1032,Substantial Expansion,7463.8,Completed,Design Build Finance Operate Transfer,Apr-21,Chandigarh,01-Sep-05,12/09/16,7463.8,4472.9,2990.9
Chandigarh-Manali (NH-21) Four Laning Highway Project,1295,Substantial Expansion,26000,Under Implementation,"Engineering, Procurement & Construction",,Chandigarh,05-Feb-10,20/06/16,26000,26000,0
Chandikhol-Jagatpur Highway Project,34,Substantial Expansion,1033.5,Completed,"Engineering, Procurement & Construction",Jan-03,Odisha,01-Sep-98,01/01/03,1033.5,1370,-336.5
Chandikhole-Dubari-Talcher (NH-200 & NH-23) Four/Two Laning Highway Project,517,New Unit,14765.6,Under Implementation,"Engineering, Procurement & Construction",,Odisha,15-Jan-07,18/10/14,14765.6,9720,5045.6
Chandikhole-Paradeep (NH-5A) Six Laning Road Project (Part of Paradip-Kalinganagar Highway),893,Substantial Expansion,10143.6,Under Implementation,Build Operate Transfer Toll,,Odisha,01-Feb-12,01/02/12,10143.6,10143.6,0
Chandikhole-Paradip Four lane Highway Project,369,New Unit,3280,Completed,,Oct-08,Odisha,01-Feb-04,01/04/08,3280,3280,0
Chandni Chowk Multi-Level Bridge Project,1555,New Unit,9000,Under Implementation,,Jun-23,Maharashtra,01-Apr-16,13/02/21,9000,4000,5000
Chandrasekharapuram-Polavaram (NH-544G) Six Lane Greenfield Expressway Project (Package-11 of Bengaluru-Kadapa-Pulivendula-Vijayawada Expressway),1976,Substantial Expansion,12926.5,Under Implementation,,Mar-26,Andhra Pradesh,01-Aug-21,24/02/23,12926.5,12926.5,0
Channarayanpatna (NH-75) Four Lane Bypass Project,1652,Substantial Expansion,4123.1,Under Implementation,"Engineering, Procurement & Construction",,Karnataka,01-Jan-17,15/01/19,4123.1,4123.1,0
Chas-Bokaro-Gola-Ramgarh (NH-23) Two/Four Laning Road Project,823,New Unit,3416.1,Completed,"Engineering, Procurement & Construction",Feb-18,Jharkhand,22-Nov-10,31/12/14,3416.1,2652.9,763.2
Chatra to Junc with NH-100 in Deoria Village Four/Six Lane Access Controlled Greenfield Highway Project (Package-9 of Varanasi-Kolkata Expressway),2119,New Unit,24000,Under Implementation,"Engineering, Procurement & Construction",,Jharkhand,01-Aug-21,01/05/23,24000,24000,0
Chauka (Chhatarpur)-MP/UP Border (NH-34 & 934) Four Lane Highway Project,2085,Substantial Expansion,9820,Under Implementation,,,Madhya Pradesh,01-Nov-22,23/01/23,9820,9820,0
Chaupala-Bareilly Flyover Project,57,New Unit,149.1,No Information,,,Uttar Pradesh,01-Mar-99,01/03/99,149.1,149.1,0
Chengala-Neleshwaram-Kalikadavu Town (NH-66) Six Laning Highway Project,1407,Substantial Expansion,17464.5,Under Implementation,Hybrid Annuity,,Kerala,01-Mar-17,13/10/20,17464.5,20682.6,-3218.1
Chengalpattu-Tindivanam (NH-8) Highway Project,61,New Unit,3315,No Information,,,Tamil Nadu,01-Sep-99,01/09/99,3315,3315,0
Chennai Bypass Phase 1 Project,32,New Unit,750,Completed,"Engineering, Procurement & Construction",Nov-01,Tamil Nadu,01-Mar-98,01/04/01,750,500,250
Chennai Bypass Phase 2 Project,390,New Unit,8462,Completed,"Engineering, Procurement & Construction",Jan-11,Tamil Nadu,14-Jul-04,31/01/11,8462,4445,4017
Chennai Dedicated Container Corridor to NHAI Road Project,1660,New Unit,1000,Under Implementation,,,Tamil Nadu,01-Apr-16,31/07/16,1000,1000,0
Chennai Port -Maduravoyal Double Decker Elevated Corridor Project (Bharatmala),1397,Substantial Expansion,58620,Under Implementation,"Engineering, Procurement & Construction",Dec-24,Tamil Nadu,15-Jun-06,04/01/23,58620,13451.4,45168.6
Chennai-Kolkata (NH-5) Six Laning Highway Project (Vijayawada- Eluru-Gundugolanu Stretch),845,Renovation & Modernisation,16000,No Information,,,Tamil Nadu,13-Feb-11,13/02/11,16000,16000,0
Chennai-Tada (NH-16) Six laning Highway Project,1314,Substantial Expansion,4646.2,Completed,Design Build Finance Operate Transfer,May-22,Tamil Nadu,07-Jun-01,29/12/17,4646.2,3533.7,1112.5
Chennai-Trichy-Tuticorin Four/Six Lane Expressway Project,2091,New Unit,305020,Announced,Hybrid Annuity,,Tamil Nadu,01-Jan-19,03/02/23,305020,305020,0
Cherthalai-Ochira (NH-66) Six Laning Highway Project (Kasaragod District-Thiruvananthapuram District),542,Substantial Expansion,20229.7,Under Implementation,,Dec-25,Kerala,15-Oct-04,01/01/09,20229.7,12863.6,7366.1
Chettikulam (Madurai)-Natham (NH-785) Four Lane Highway Project (Bharatmala),1484,Substantial Expansion,8376.1,Under Implementation,"Engineering, Procurement & Construction",,Tamil Nadu,26-Sep-17,21/11/19,8376.1,4319.3,4056.8
Chhapra-Rewaghat-Muzaffarpur (NH-102) Two Lane Road Project,827,New Unit,5161.3,Completed,"Engineering, Procurement & Construction",Feb-19,Bihar,22-Nov-10,30/08/15,5161.3,3184,1977.3
Chhattisgarh/Maharashtra Border-Wainganga Bridge Highway Project,594,New Unit,2984.2,Completed,Build Operate Transfer,Sep-10,Jharkhand,31-Mar-08,30/09/10,2984.2,5400,-2415.8
Chicholi-Betul (NH-47) Four Lane Highway Project (Package 3 of Harda-Betul) (Bharatmala),1703,Substantial Expansion,6203.6,Under Implementation,Hybrid Annuity,,Madhya Pradesh,14-Mar-18,23/08/20,6203.6,4865,1338.6
Chicholi-Temagaon (NH-47) Four Lane Highway Project (Package 2 of Harda-Betul),1822,New Unit,6630,Under Implementation,"Engineering, Procurement & Construction",,Madhya Pradesh,14-Mar-18,08/05/18,6630,6630,0
Chichra-Kharagpur (NH-6) Four Laning Highway Project,1091,Substantial Expansion,11220.5,Completed,"Engineering, Procurement & Construction",Jun-20,West Bengal,01-Jul-13,31/10/17,11220.5,7696.3,3524.2
Chilakalapudi (Machilipatnam)-Manginapudi Beach Road Widening Project (Bharatmala),1693,Substantial Expansion,1950,No Information,,,Andhra Pradesh,01-Jul-16,16/10/20,1950,130,1820
Chilakaluripet (NH-16) Six Lane Bypass Project (Bharatmala),1528,New Unit,4785.9,Under Implementation,Hybrid Annuity,Nov-23,Andhra Pradesh,01-Apr-07,21/12/22,4785.9,6000,-1214.1
Chilakaru Cross (NH-16)-Power Plants Road Up gradation Project (Bharatmala),1549,New Unit,3000,No Information,,,Andhra Pradesh,01-Apr-16,03/06/16,3000,3000,0
Chilkaluripet-Nellore(Chilkaluripet-Ongole) Highway Project,105,Substantial Expansion,3192.1,Completed,"Engineering, Procurement & Construction",Sep-08,Andhra Pradesh,01-Mar-01,01/01/02,3192.1,2560,632.1
Chilkaluripet-Nellore(Ongole-Kavali) Highway Project,106,Substantial Expansion,3214.1,Completed,"Engineering, Procurement & Construction",Aug-05,Andhra Pradesh,01-Mar-01,01/01/02,3214.1,2760,454.1
Chillakuru Cross Road-Turpu Kanupur (NH-516W) Four Lane Highway Project,2057,Substantial Expansion,9094.7,Under Implementation,Hybrid Annuity,,Andhra Pradesh,01-Oct-21,08/08/22,9094.7,9094.7,0
Chiloda-Naroda Section & Ahmedabad-Baroda Sect. Upgradation Project,212,Substantial Expansion,320,Completed,,May-04,Gujarat,15-Dec-01,01/03/02,320,320,0
Chilodha-Naroda Six Laning Highway Project (Package-VII) (Kishangarh-Ahmadabad),1244,Substantial Expansion,2907.3,Completed,"Engineering, Procurement & Construction",May-21,Gujarat,01-Jan-12,15/11/16,2907.3,2907.3,0
